nct_id,title,official_title,status,start_date,completion_date,primary_completion_date,phase,enrollment,study_type,allocation,intervention_model,primary_purpose,masking,conditions,intervention_types,intervention_names,sponsor,sponsor_type,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,primary_outcome_titles,primary_outcome_descriptions,primary_outcome_timeframes,primary_analyses_data,num_p_values_in_primary,all_p_values_primary,all_param_values_primary,all_ci_data_primary,baseline_participants
NCT06192108,A Study of Orforglipron (LY3502970) Compared With Dapagliflozin in Adult Participants With Type 2 Diabetes and Inadequate Glycemic Control With Metformin,"A Phase 3, Randomized, Open-Label Study to Investigate the Efficacy and Safety of Once Daily Oral Orforglipron Compared With Dapagliflozin in Adult Participants With Type 2 Diabetes and Inadequate Glycemic Control With Metformin (ACHIEVE-2)",COMPLETED,2024-01-10,2025-09-26,2025-09-26,PHASE3,962.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes,"DRUG, DRUG","Orforglipron, Dapagliflozin",Eli Lilly and Company,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT05998525,Dapagliflozin Effects on Coronary Calcium and Epicardial Fat Assessed by Cardiotomography,Dapagliflozin Effects on Coronary Calcium and Epicardial Fat Assessed by Cardiotomography,COMPLETED,2021-06-21,2023-06-01,2022-12-30,PHASE3,54.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabete Type 2, Unstable Angina, Myocardial Infarction, Diabetes Mellitus, Type 2","DRUG, DRUG","Dapagliflozin 10Mg Tab, Placebo",Hilda Elizabeth Macías Cervantes,OTHER_GOV,False,0,0,0,,,,,0,,,,
NCT07073768,Comparison Between Efficacy of Trelagliptin and Sitagliptin in Type II Diabetic Patients,Comparison Between Efficacy of Trelagliptin and Sitagliptin in Type II Diabetic Patients,ENROLLING_BY_INVITATION,2025-07-01,2026-12-30,2026-12-26,PHASE3,126.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes Mellitus Type 2, Glycemic Control for Diabetes Mellitus","DRUG, DRUG","Trelagliptin 100 mg, Sitagliptin 100mg OD","Khyber Medical College, Peshawar",OTHER,False,0,0,0,,,,,0,,,,
NCT00960076,An 18 Week Efficacy and Safety Study of Saxagliptin and Metformin XR Combination in Subjects With Type 2 Diabetes,"18-Week, Multicenter, Randomized, Double-Blind 3b Trial to Evaluate Efficacy/Safety of Saxagliptin in Combo With Metformin XR 1500mg vs Metformin Uptitrated to 2000mg in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control After Diet/Exercise and a Stable Dose of Metformin XR 1500mg",COMPLETED,2009-08,2010-10,2010-10,PHASE3,282.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes,"DRUG, DRUG, DRUG","Saxagliptin, Metformin XR, Metformin XR",AstraZeneca,INDUSTRY,True,4,1,3,Change in HbA1c Level From Baseline to Week 18 (LOCF),"Adjusted mean change from baseline in HbA1c achieved with saxagliptin added on to metformin versus metformin at Week 18 (Randomized Analysis Set). HbA1c is a continuous measure, the change from baseline for each participant is calculated as the Week 18 value minus the baseline value.",Baseline to week 18,"[{""groupIds"": [""OG000"", ""OG001""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""paramType"": ""Mean Difference (Net)"", ""paramValue"": ""-0.52"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.73"", ""ciUpperLimit"": ""-0.31"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.108""}]",0,,-0.52,"[-0.73, -0.31]",564.0
NCT01841697,Study to Evaluate the Safety and Efficacy of the Addition of Omarigliptin (MK-3102) Compared With the Addition of Sitagliptin in Participants With Type 2 Diabetes Mellitus With Inadequate Glycemic Control on Metformin (MK-3102-026),"A Phase III, Multicenter, Double-Blind, Randomized Study to Evaluate the Safety and Efficacy of the Addition of MK-3102 Compared With the Addition of Sitagliptin in Subjects With Type 2 Diabetes Mellitus With Inadequate Glycemic Control on Metformin",COMPLETED,2013-06-13,2014-11-17,2014-11-17,PHASE3,642.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG, DRUG, DRUG, DRUG, DRUG","Omarigliptin, Sitagliptin, Placebo to omarigliptin, Placebo to Sitagliptin, Open-label Metformin, Open-label Glimepiride",Merck Sharp & Dohme LLC,INDUSTRY,True,6,3,3,Change From Baseline in A1C at Week 24 | Percentage of Participants Who Experienced at Least One Adverse Event | Percentage of Participants Who Discontinued Study Drug Due to an Adverse Event,"A1C is a measure of the percentage of glycated hemoglobin in the blood. Participant whole blood samples were collected at baseline and Week 24 to determine the least squares mean A1C change from baseline. | An adverse event is defined as any unfavourable and unintended sign, symptom, or disease temporally associated with the use of a medicinal product or protocol-specified procedure, whether or not considered related to the medicinal product or protocol-specified procedure. Any worsening (i.e., any clinically significant adverse change in frequency and/or intensity) of a preexisting condition that is temporally associated with the use of the Sponsor's product, is also an adverse event. Data presented below excludes data after initiation of glycemic rescue therapy. | An adverse event is defined as any unfavourable and unintended sign, symptom, or disease temporally associated with the use of a medicinal product or protocol-specified procedure, whether or not considered related to the medicinal product or protocol-specified procedure. Any worsening (i.e., any clinically significant adverse change in frequency and/or intensity) of a preexisting condition that is temporally associated with the use of the Sponsor's product, is also an adverse event. Data presented below excludes data after initiation of glycemic rescue therapy.",Baseline and Week 24 | Up to 27 weeks (including 3-week follow-up) | Up to 24 weeks,"[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Constrained longitudinal data analysis"", ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""If the upper bound of the two-sided 95% confidence interval for the mean difference between omarigilptin and sitagliptin is less than the non-inferiority margin, \u03b4 =0.3%, then omarigliptin will be declared non-inferior to sitagliptin in terms of A1C reduction at Week 24."", ""paramType"": ""Difference in least squares mean"", ""paramValue"": ""-0.03"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.15"", ""ciUpperLimit"": ""0.08"", ""estimateComment"": ""Difference is omarigliptin minus sitagliptin.""}, {""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""paramType"": ""Difference in percent"", ""paramValue"": ""-4.3"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-11.8"", ""ciUpperLimit"": ""3.2"", ""estimateComment"": ""Difference is omarigliptin minus sitagliptin.""}, {""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""paramType"": ""Difference in percent"", ""paramValue"": ""-1.3"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-3.6"", ""ciUpperLimit"": ""0.8"", ""estimateComment"": ""Difference is omarigliptin minus sitagliptin.""}]",0,,"-0.03, -4.3, -1.3","[-0.15, 0.08] | [-11.8, 3.2] | [-3.6, 0.8]",1284.0
NCT02512068,"A Phase 3, Randomized, Double-blind, Parallel-group, Comparative Study and a Phase 3, Multicenter, Open-label, Long-term Study of SYR-472 (25 mg) in Patients With Type 2 Diabetes Mellitus Complicated by Severe Renal Impairment or End-stage Renal Disease","A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled, Parallel-group, Comparative Study and a Phase 3, Multicenter, Open-label, Long-term Study to Evaluate the Efficacy and Safety of SYR-472 When Orally Administered at a Dose of 25 mg Once Weekly in Patients With Type 2 Diabetes Mellitus Complicated by Severe Renal Impairment or End-stage Renal Disease",COMPLETED,2015-08-07,2018-04-24,2018-04-24,PHASE3,107.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","Trelagliptin 25 mg, Placebo",Takeda,INDUSTRY,True,10,3,7,Change From Baseline in HbA1c at the End of Treatment Period I | Number of Participants Who Had One or More Treatment Emergent Adverse Event (TEAE) Before the Start of Study Drug Administration in Treatment Period II | Number of Participants Who Had One or More TEAE Occurred After 1st Dose of Trelagliptin 25 mg Tablet," | An Adverse Event (AE) is defined as any untoward medical occurrence in a patient or clinical investigation participant administered a drug (including the study drug). It does not necessarily have to have a causal relationship with this treatment (including the study drug). An AE can therefore be any unfavorable and unintended sign (eg, a clinically significant abnormal laboratory finding), symptom, or disease temporally associated with the use of a drug (including the study drug), whether or not it is considered related to the drug. A treatment-emergent adverse event (TEAE) is defined as an adverse event with an onset that occurs after receiving study drug. Reported data is the number of participants reporting one or more TEAEs that occurred before the start of Treatment Period II in each group. | An AE is defined as any untoward medical occurrence in a patient or clinical investigation participant administered a drug (including the study drug). It does not necessarily have to have a causal relationship with this treatment (including the study drug). An AE can therefore be any unfavorable and unintended sign (eg, a clinically significant abnormal laboratory finding), symptom, or disease temporally associated with the use of a drug (including the study drug), whether or not it is considered related to the drug. A TEAE is defined as an adverse event with an onset that occurs after receiving study drug. As to collect the safety data of long-term treatment with the active drug widely, the number of participants reporting one or more TEAEs that occurred after 1st dose of trelagliptin 25 mg, that is events in Period I and II for ""Trelagliptin 25 mg"" group and events in Period II for ""Placebo and Trelagliptin 25 mg"" group, was analyzed.",Baseline (Week 0) and end of Treatment Period I (Up to Week 12) | Up to Week 12 | Up to Week 54,"[{""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""SUPERIORITY"", ""pValue"": ""<0.0001"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Least square (LS) mean difference"", ""paramValue"": ""-0.72"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.966"", ""ciUpperLimit"": ""-0.473"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.124""}]",1,<0.0001,-0.72,"[-0.966, -0.473]",214.0
NCT00288236,Study Evaluating Rimonabant Efficacy in Insulin-Treated Diabetic Patients(ARPEGGIO),"A Multicenter, Randomized, Placebo-Controlled, Double-Blind, Parallel-Group, Fixed-Dose Study Evaluating the Effect of One Dose of Rimonabant (20 mg/Day) on Glycemic Control in Type 2 Diabetic Patients Inadequately Controlled With Insulin",COMPLETED,2006-01,2007-07,2007-07,PHASE3,368.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","Rimonabant (SR141716), Placebo",Sanofi,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT00395512,Efficacy of Alogliptin With Pioglitazone (Actos®) in Subjects With Type 2 Diabetes Mellitus,"A Multicenter, Double-Blind Study to Determine the Efficacy and Safety of SYR-322 Plus Pioglitazone HCl (Actos®), SYR-322 Alone or Pioglitazone HCl Alone in Subjects With Type 2 Diabetes",COMPLETED,2006-11,2008-02,2008-02,PHASE3,655.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Diabetes Mellitus,"DRUG, DRUG, DRUG","Alogliptin, Pioglitazone, Placebo",Takeda,INDUSTRY,True,41,1,40,Change From Baseline to Week 26 in Glycosylated Hemoglobin (HbA1c),The change from Baseline to Week 26 in HbA1c (the concentration of glucose bound to hemoglobin as a percent of the absolute maximum that can be bound).,Baseline and Week 26,"[{""groupIds"": [""OG001"", ""OG002""], ""groupDescription"": ""The primary efficacy variable was defined as change from Baseline in HbA1c level at Week 26. The null hypothesis was that the average change from Baseline in HbA1c at Week 26 for the A25 + P30 group would be equal to the average changes for the P30 alone and A25 alone groups; further, under the null hypothesis, the average change from Baseline in HbA1c at Week 26 for the A12.5 + P30 group was equal to the average change for the P30 alone group."", ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.001"", ""pValueComment"": ""ANCOVA model with treatment and geographic region as class variables and baseline HbA1c as a covariate."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""LS Mean Difference"", ""paramValue"": ""-0.56"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.78"", ""ciUpperLimit"": ""-0.33""}, {""groupIds"": [""OG000"", ""OG002""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.001"", ""pValueComment"": ""ANCOVA model with treatment and geographic region as class variables and baseline HbA1c as a covariate."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""LS Mean Difference"", ""paramValue"": ""-0.75"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.98"", ""ciUpperLimit"": ""-0.53""}, {""groupIds"": [""OG001"", ""OG003""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.001"", ""pValueComment"": ""ANCOVA model with treatment and geographic region as class variables and baseline HbA1c as a covariate."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""LS Mean Difference"", ""paramValue"": ""-0.40"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.63"", ""ciUpperLimit"": ""-0.18""}]",3,"<0.001, <0.001, <0.001","-0.56, -0.75, -0.40","[-0.78, -0.33] | [-0.98, -0.53] | [-0.63, -0.18]",1310.0
NCT00575471,Placebo Controlled Dose-Response Study of Rivoglitazone in Type 2 Diabetes,"A Randomized, Double-Blind, Placebo-Controlled 12-Week Dose-Response Study of Rivoglitazone (CS-011) in Patients With Type 2 Diabetes.",COMPLETED,2007-07,2008-03,2008-03,PHASE2,250.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes,"DRUG, DRUG, DRUG, DRUG","Rivoglitazone HCl, rivoglitazone HCl, rivoglitazone HCl, Placebo","Daiichi Sankyo Co., Ltd.",INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02917928,The Potential of Carnosine Supplementation in Optimising Cardiometabolic Health,"The Potential of Carnosine Supplementation in Optimising Cardiometabolic Health in Patients With Prediabetes and Type 2 Diabetes: a Randomsied, Double-blinded, Placebo-controlled Trial",UNKNOWN,2016-10,2023-07,2023-01,PHASE2,40.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Poor Glycemic Control, Cardiovascular Risk Factors, Cognitive Function 1, Social","DIETARY_SUPPLEMENT, DRUG","carnosine, Placebo",Monash University,OTHER,False,0,0,0,,,,,0,,,,
NCT00762736,Efficacy and Safety of Pioglitazone and Azilsartan in Treating Subjects With Type 2 Diabetes Mellitus,"A Phase II, Double-Blind, Randomized, Placebo-Controlled, Proof-of-Concept Study of the Efficacy, Safety, and Tolerability of Pioglitazone HCl (ACTOS™) in Combination With TAK-536 in Subjects With Type II Diabetes",COMPLETED,2004-07,2005-10,2005-10,PHASE2,704.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG, DRUG, DRUG","Pioglitazone and azilsartan, Pioglitazone and azilsartan, Pioglitazone, Pioglitazone and azilsartan, Pioglitazone and azilsartan, Pioglitazone",Takeda,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01257334,Patients With Type 2 Diabetes Mellitus With Insufficient Glycaemic Control Despite Treatment With Metformin Alone or Metformin in Combination With a Sulfonylurea,"A Phase III Randomised, Double-blind, Placebo-controlled, Parallel Group, Efficacy and Safety Study of BI 10773 (10 mg, 25 mg) Administered Orally, Once Daily Over 24 Weeks in Patients With Type 2 Diabetes Mellitus With Insufficient Glycaemic Control Despite Treatment With Metformin Alone or Metformin in Combination With a Sulfonylurea",UNKNOWN,2010-09,2012-07,2011-09,PHASE3,1390.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,DRUG,BI 10773,Taipei Medical University WanFang Hospital,OTHER,False,0,0,0,,,,,0,,,,
NCT00331487,Study to Compare Pioglitazone and Rosiglitazone in Subjects With Type 2 Diabetes Mellitus and Dyslipidemia,Pioglitazone Versus Rosiglitazone in Subjects With Type 2 Diabetes Mellitus and Dyslipidemia,COMPLETED,2000-09,2004-03,2004-03,PHASE3,719.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Diabetes Mellitus,"DRUG, DRUG","Pioglitazone, Rosiglitazone",Takeda,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT06534411,"A Research Study to See How Much CagriSema Lowers Blood Sugar and Body Weight Compared to Tirzepatide in People With Type 2 Diabetes Treated With Metformin, SGLT2 Inhibitor or Both","Efficacy and Safety of Co-administered Cagrilintide and Semaglutide (CagriSema) 1.0 mg/1.0 mg s.c. Once Weekly Versus Tirzepatide 5 mg s.c. Once Weekly in Participants With Type 2 Diabetes Inadequately Controlled on Metformin, SGLT2 Inhibitor or Both",ACTIVE_NOT_RECRUITING,2024-11-05,2026-07-14,2026-06-02,PHASE3,1023.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG","Cagrilintide, Semaglutide, Tirzepatide",Novo Nordisk A/S,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT01224366,Efficacy and Safety of Vildagliptin as add-on Therapy to Insulin in Patients With Type 2 Diabetes Mellitus,"A 24-week, Multi-center, Double-blind, Randomized, Placebo-controlled, Parallel-group Study to Assess the Efficacy and Safety of Vildagliptin 50mg Bid as an add-on Therapy to Insulin, With or Without Metformin, in Patients With Type 2 Diabetes Mellitus.",COMPLETED,2010-09,2011-10,2011-10,PHASE3,448.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG","Vildagliptin, Placebo",Novartis,INDUSTRY,False,0,0,0,,,,,0,,,,
NCT02500628,Heart Rate Variability in Response to Metformin Challenge,Heart Rate Variability in Response to Metformin Challenge,COMPLETED,2015-07,2016-02,2016-02,PHASE2,61.0,INTERVENTIONAL,NON_RANDOMIZED,SINGLE_GROUP,DIAGNOSTIC,NONE,"Fibromyalgia, Mitochondrial Diseases, Movement Disorders, Diabetes Mellitus, Type 2",DRUG,Metformin,Woodinville Psychiatric Associates,OTHER,True,3,2,1,Heart Rate Variability (Time Domain) | Heart Rate Variability (Frequency Domain),ratio of the standard deviation of sampled intervals between each heart beat for ten minutes at time 1 (prior to metformin ingestion) over standard deviation of the sampled intervals between each heart beat for ten minutes at time 2 (2 hours post metformin ingestion) | total power in the frequency domain is estimated for 10 minutes prior to metformin ingestion and then divided by the total power in the frequency domain estimated for 10 minutes 2 hours after metformin ingestion. Ratio is log-transformed.,difference pre/post metformin ingestion (2 hours) | difference pre/post metformin ingestion (2 hours),"[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""comparison between fibromyalgia and non-fibromyalgia group"", ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.77"", ""statisticalMethod"": ""t-test, 2 sided""}, {""groupIds"": [""OG000"", ""OG001""], ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.27"", ""statisticalMethod"": ""t-test, 2 sided""}]",2,"0.77, 0.27",,,122.0
